,이미지,전세/월세,보증금,월세,m2,층수,원룸/오피스텔,관리비,주소,구,동,위도,경도
0,https://ic.zigbang.com/ic/items/31644403/1.jpg,전세,50000,0,90.0,2,빌라,0,https://www.zigbang.com/home/oneroom/items/31644403,종로구,삼청동,37.585901362483725,126.98233263845582
1,https://ic.zigbang.com/ic/items/31638294/1.jpg,전세,31000,0,51.64,5,빌라,3,https://www.zigbang.com/home/oneroom/items/31638294,중랑구,중화동,37.595060533870225,127.07296958981378
2,https://ic.zigbang.com/ic/items/31599987/1.jpg,월세,10000,40,39.0,5,빌라,0,https://www.zigbang.com/home/oneroom/items/31599987,중랑구,중화동,37.595510207724224,127.07138582290844
3,https://ic.zigbang.com/ic/items/31736171/1.jpg,월세,10000,40,44.46,5,빌라,0,https://www.zigbang.com/home/oneroom/items/31736171,중랑구,중화동,37.59550467556427,127.07135969902241
4,https://ic.zigbang.com/ic/items/31667098/1.jpg,전세,29000,0,34.06,5,빌라,5,https://www.zigbang.com/home/oneroom/items/31667098,중랑구,중화동,37.59503172622633,127.07123621986193
5,https://ic.zigbang.com/ic/items/31679810/1.jpg,전세,27000,0,36.36,2,빌라,4.5,https://www.zigbang.com/home/oneroom/items/31679810,중랑구,중화동,37.595523848112464,127.07187375100598
6,https://ic.zigbang.com/ic/items/31703763/1.jpg,전세,27300,0,33.17,4,빌라,5,https://www.zigbang.com/home/oneroom/items/31703763,중랑구,중화동,37.595014926814365,127.07125245083496
7,https://ic.zigbang.com/ic/items/31613019/1.jpg,전세,27000,0,40.0,4,빌라,4.5,https://www.zigbang.com/home/oneroom/items/31613019,중랑구,중화동,37.59501116114163,127.07106053435393
8,https://ic.zigbang.com/ic/items/31739641/1.jpg,전세,27000,0,33.45,4,빌라,4.5,https://www.zigbang.com/home/oneroom/items/31739641,중랑구,중화동,37.59550768794094,127.0710196726916
9,https://ic.zigbang.com/ic/items/31736254/1.jpg,전세,24000,0,33.25,2,빌라,5,https://www.zigbang.com/home/oneroom/items/31736254,중랑구,중화동,37.59510816997502,127.07234413468527
